Index	Clean	Noisy	Denoised
0	-0.5605135800453476	-0.151558278933353	-0.3126501441001892
1	-0.7086195056678127	-0.3600126402482485	-0.3943510949611664
2	-0.40256355924269643	0.03995488736457087	-0.1645805388689041
3	-0.27981120798766995	0.139782603371143	-0.004700879566371441
4	-0.18566767503246412	0.1625551182802863	0.048429958522319794
5	-0.08244953698152672	0.3248999584465877	0.16852469742298126
6	0.11449524557982123	0.39073247006787937	0.3339306116104126
7	0.2659290036034861	0.7614130358579664	0.5770013332366943
8	0.3280156711009948	0.8589529846495427	0.7112889289855957
9	0.29474392353658924	0.7805324776005991	0.7270987033843994
10	0.2641495053473751	0.7943504109204454	0.733649730682373
11	0.28662326604172056	0.7812241058398968	0.7315273880958557
12	0.28549060918646	0.6609272981400738	0.6715494394302368
13	0.21510611582648337	0.7125218288751707	0.6607096791267395
14	0.17325253995686124	0.8183020288837117	0.627671480178833
15	0.21103347032362235	0.5710708540271674	0.5030434131622314
16	0.2234166740026729	0.6579323592229592	0.4205944538116455
17	0.11501316982379846	0.3978670570084494	0.223224937915802
18	-0.07276037105477855	0.05328353469734806	-0.07850900292396545
19	-0.2249152887656563	0.014943012784694676	-0.15647579729557037
20	-0.2992787652532343	0.06383810963215975	-0.11204022914171219
21	-0.38536033753897264	0.0033910869705090496	-0.19009871780872345
22	-0.535816382150788	-0.19138952487191652	-0.4064796566963196
23	-0.6314775636233997	-0.4139806192959172	-0.5142674446105957
24	-0.5921354141650562	-0.2655728304908647	-0.4277992844581604
25	-0.5343776739818936	-0.17866426325928952	-0.2797173857688904
26	-0.5189752502860973	-0.2134967718272356	-0.3288682699203491
27	-0.4157269375949308	-0.3869055530607728	-0.38760900497436523
28	-0.18937109221183507	-0.14466068500230483	-0.24184274673461914
29	-0.00356514973637527	0.1313273998284371	0.11428950726985931
30	0.0839003978764959	0.4471402707237655	0.3506864309310913
31	0.20929408245569442	0.37516511320010715	0.3569876551628113
32	0.3807786316974687	0.41075566990239454	0.3940029740333557
33	0.4020785967718284	0.5082983482973286	0.4976557791233063
34	0.2591302810322372	0.3890768478947751	0.4606960713863373
35	0.19355339539949684	0.30153114103894096	0.3217203617095947
36	0.21793871470648224	0.10552759756282401	0.22333404421806335
37	0.07608905633083392	0.1390955169701934	0.17575454711914062
