Index	Clean	Noisy	Denoised
0	0.312011863772851	0.6751181415844251	-0.05754520371556282
1	0.30844293933767214	0.6179665987152854	0.2443336546421051
2	0.07832704190474432	0.4712336152481259	0.5731086730957031
3	-0.07906221841151756	0.2934898590918047	0.45947790145874023
4	-0.24211270224456266	0.0670699443310714	0.28778284788131714
5	-0.3502092988890288	0.011471204215194666	0.13874658942222595
6	-0.44948434008719423	-0.20421677636049174	-0.028007537126541138
7	-0.5664646955510348	-0.126530643644164	-0.08759474009275436
8	-0.7017552729294545	-0.2303426976438876	-0.1816088706254959
9	-0.7835048878846003	-0.3521793293455192	-0.2137996107339859
10	-0.8359755631419292	-0.3652168352528855	-0.29246586561203003
11	-0.81325406080514	-0.3741041843925784	-0.34715282917022705
12	-0.5827089210318654	-0.24936339816134656	-0.3194281756877899
13	-0.25506586632388334	0.18658330070974438	-0.16497017443180084
14	-0.07125117330756586	0.50148016992631	0.0942147746682167
15	0.05523722711098261	0.37490990017363124	0.3189206123352051
16	0.328921953985348	0.7147229759603049	0.5059342980384827
17	0.6482796356588467	0.899422051127932	0.6015110015869141
18	0.8546257019097778	0.9665385034654518	0.8069266676902771
19	0.9782495723197435	1.1912167470729151	0.9627715945243835
20	1.0087757165461235	1.3311826311690462	1.0911468267440796
21	0.9131672226591814	1.2583347320758844	1.1986424922943115
22	0.8437323057652382	1.1495445883907662	1.2035154104232788
23	0.8819169517196124	1.0750297581202213	1.1233570575714111
24	0.8090066466694152	1.0989574650303526	1.0662314891815186
25	0.4728782269293647	0.7887116986656139	0.955145001411438
26	0.0676523555193837	0.33888286155056485	0.7516158223152161
27	-0.19617610571718108	-0.17058596021443773	0.35947462916374207
28	-0.3814799018210043	-0.34178209255640124	-0.008831595070660114
29	-0.5811113277049444	-0.4613419263943139	-0.2930341064929962
30	-0.6966287854847926	-0.3741126625156434	-0.3695051968097687
31	-0.6855972624809652	-0.5383224566364047	-0.43969157338142395
32	-0.7117705143001034	-0.6851542784112206	-0.49181294441223145
33	-0.8295804321701892	-0.7352692482788908	-0.6119615435600281
34	-0.8856214660805426	-0.7702435407191418	-0.6942305564880371
35	-0.8598344368995232	-0.7639623521044021	-0.7220690250396729
36	-0.872943913672128	-0.9727523333690684	-0.7934864163398743
37	-0.8932195311964861	-0.8372768857811282	-0.8101153373718262
38	-0.8647236368013207	-0.7926052729400538	-0.843346357345581
39	-0.8949084690287636	-0.9957532422786107	-0.8346281051635742
40	-0.9912242834538765	-0.965798673389984	-0.8643184304237366
41	-0.9729698559199964	-1.0142681723899933	-0.9507964253425598
42	-0.7778402131501869	-0.8554025729378122	-0.9071654081344604
43	-0.5110636335675351	-0.6162573804696833	-0.8148877024650574
44	-0.26952593379755513	-0.36896511660817344	-0.6155129075050354
45	-0.108377997514915	-0.1734736908852701	-0.39657577872276306
46	0.008403363409157205	-0.21358289143923426	-0.2554764449596405
47	0.17345792667852783	-0.053633965904158046	-0.14323845505714417
48	0.3113460886220502	0.0995176155500173	-0.07171384245157242
